04202305000053UNIDAS - IU - PODEMOS                             UNIDAS POR CASAS-IBÁÑEZ                                                                                                                               000369000369000369
04202305000054PSOE                                              PARTIDO SOCIALISTA OBRERO ESPAÑOL CAUDETE                                                                                                             000030000030000030
04202305000055CCD                                               COALICIÓN DE CENTRO DEMOCRÁTICO CAUDETE                                                                                                               000055000055001712
04202305000056PP                                                PARTIDO POPULAR CAUDETE                                                                                                                               000006000006000006
04202305000057UNIDAS - IU - PODEMOS                             UNIDAS POR CAUDETE                                                                                                                                    000369000369000369
04202305000058VOX CAUDETE                                       VOX                                                                                                                                                   000007000007000007
04202305000059UNIDAS-PODEMOS - IU                               UNIDAS PODEMOS IZQUIERDA UNIDA                                                                                                                        000369000369000369
04202305000060UNIDAS - IU - PODEMOS                             UNIDAS POR CHINCHILLA                                                                                                                                 000369000369000369
04202305000061UNIDAS - IU - PODEMOS                             UNIDAS IZQUIERDA UNIDA                                                                                                                                000369000369000369
04202305000062PSOE                                              PARTIDO SOCIALISTA OBRERO ESPAÑOL FUENTE-ALAMO                                                                                                        000030000030000030
04202305000063PP                                                PARTIDO POPULAR FUENTE-ÁLAMO                                                                                                                          000006000006000006
04202305000064VOX                                               VOX FUENTE-ALAMO                                                                                                                                      000007000007000007
04202305000065AGRUPACIÓN DE ELECTORES SOMOS FUENTEALBILLA       AGRUPACIÓN DE ELECTORES SOMOS FUENTEALBILLA                                                                                                           000065000065000065
04202305000066AGRUPACIÓN DE ELECTORES'INDEPENDIENTES POR LA HERRAGRUPACIÓN DE ELECTORES'INDEPENDIENTES POR LA HERRERA'                                                                                                000066000066000066
04202305000067PSOE HIGUERUELA                                   PARTIDO SOCIALISTA OBRERO ESPAÑOL                                                                                                                     000030000030000030
04202305000068PP                                                PARTIDO POPULAR HIGUERUELA                                                                                                                            000006000006000006
04202305000069OTRA MIRADA PARA LETUR                            OTRA MIRADA PARA LETUR                                                                                                                                000069000069000069
04202305000070LB                                                LIBRES                                                                                                                                                000070000070000070
04202305000071PSOE                                              PARTIDO SOCIALISTA OBRERO ESPAÑOL MONTEALEGRE DEL CASTILLO                                                                                            000030000030000030
04202305000072PP MONTEALEGRE DEL CASTILLO                       PARTIDO POPULAR                                                                                                                                       000006000006000006
04202305000073AM                                                ALTERNATIVA POR MONTEALEGRE                                                                                                                           000073000073000073
04202305000074VOX                                               VOX MONTEALEGRE DEL CASTILLO                                                                                                                          000007000007000007
04202305000075SOMOS EL CAMBIO                                   SOMOS EL CAMBIO                                                                                                                                       000075000075000075
04202305000076VECINOS NAVA                                      AGRUPACIÓN DE ELECTORES VECINOS NAVA DE ABAJO                                                                                                         000076000076000076
