04202305101049Almería                                           00740534008370048356700483217000128440000000000172435002345370000314000003204002859780010150000000000000000S
04202305101119Cádiz                                             01246781015280098973300989848000038910000000000322564004481870000767100007054005446600007210000000000000000S
04202305101149Córdoba                                           00772464009480062980400629833000036290000000000236656003245270000544600007197003955150009090000000000000000S
04202305101189Granada                                           00921987011220071808100718090000066360000000000266635003722520000480500009796004459500017600000000000000000S
04202305101219Huelva                                            00528763006510040092000400944000068790000000000130218001820400000289200004506002465040008800000000000000000S
04202305101239Jaén                                              00623761008730050604700506050000008560000000000206194002787500000359200006235003417480010990000000000000000S
04202305101299Málaga                                            01717504017340120420101204249000267500000000000396480005619420000771300008805006791530012150000000000000000S
04202305101419Sevilla                                           01948393025880152971301529744000041830000000000536571007434180001197700015433009177300014980000000000000000S
04202305101999Andalucía                                         08500187102810646206606461975000656680000000002267753031456530004723600062230038572380090970000000000000000S
04202305102229Huesca                                            00225456004170016838100168390000031230000000000066536000899060000235900002148001106760012740000000000000000S
04202305102449Teruel                                            00134421003280010242000102420000014350000000000043957000607300000130900001566000732450011390000000000000000S
04202305102509Zaragoza                                          00966438014690072088100720897000079710000000000294161003910470000845300006571004757680017730000000000000000S
04202305102999Aragón                                            01326315022140099168200991707000125290000000000404654005416830001212100010285006596890041860000000000000000S
04202305103339Asturias                                          01004686015590083810800838150000026690000000000303145004252760000916800007575005230780009220000000000000000S
04202305103999Principado de Asturias                            01004686015590083810800838150000026690000000000303145004252760000916800007575005230780009220000000000000000S
04202305104079Illes Balears                                     01176659012470081462600815508000191410000000000271292003755390000681500005755004501070009450000000000000000S
04202305104999Illes Balears                                     01176659012470081462600815508000191410000000000271292003755390000681500005755004501070009450000000000000000S
04202305105359Las Palmas                                        01129395015640085941300860439000165430000000000215233003405620000696200007224004571450006000000000000000000S
04202305105389Santa Cruz de Tenerife                            01048306013790080124500801307000279420000000000216834003466080000623700006473004544470008020000000000000000S
04202305105999Canarias                                          02177701029430166065801661746000444850000000000432067006871700001319900013697009115920014020000000000000000S
04202305106399Cantabria                                         00585402008310046976500469745000034710000000000191377002692330000502800005838003200000010400000000000000000S
04202305106999Cantabria                                         00585402008310046976500469745000034710000000000191377002692330000502800005838003200000010400000000000000000S
04202305107029Albacete                                          00385727005210030177000301753000016350000000000124922001721930000312200003667002067160007810000000000000000S
04202305107139Ciudad Real                                       00490806007070038658600386614000024260000000000156934002206900000392000005725002651280009980000000000000000S
04202305107169Cuenca                                            00195215003830015208400152094000027020000000000066941000930270000187100002574001115000013400000000000000000S
04202305107199Guadalajara                                       00268127005900019525600195271000036910000000000073661001061710000187300002286001302260013520000000000000000S
04202305107459Toledo                                            00713453009030053377800533805000053880000000000220461003099090000475500008873003623350019120000000000000000S
04202305107999Castilla-La Mancha                                02053328031040156947401569537000158420000000000642919009019900001554100023125010759050063830000000000000000S
04202305108059Ávila                                             00158140003590012909400129101000008150000000000052045000755260000110900002133000907550012720000000000000000S
04202305108099Burgos                                            00355045007950027822900278314000018450000000000102965001414690000319700003512001753790018210000000000000000S
04202305108249León                                              00448179007730037615200376137000020980000000000136023001946820000323700004887002407370016310000000000000000S
04202305108349Palencia                                          00158008003640013051100130512000003940000000000050156000716840000124300001762000881290009990000000000000000S
04202305108379Salamanca                                         00325898006490026989700269915000010120000000000101727001441120000255000003221001753350020360000000000000000S
04202305108409Segovia                                           00153803003380011715500117164000017940000000000046847000668680000128100001791000812340011140000000000000000S
04202305108429Soria                                             00088377002580006926300069265000008380000000000026122000362770000088300000940000451420007710000000000000000S
04202305108479Valladolid                                        00517975007660041811800418201000018390000000000161665002283090000350000004062002790720013650000000000000000S
04202305108499Zamora                                            00167215003810014302100143019000007940000000000055537000779670000131200001911000965010014800000000000000000S
04202305108999Castilla y León                                   02372640046830193144001931628000114290000000000733087010368940001831200024219012722840124890000000000000000S
04202305109089Barcelona                                         05727615064720406834304068372000411670000000001299736017978310003407400028066021889870037910000000000000000S
04202305109179Girona                                            00793478008600053498700535019000134590000000000169687002367760000629200005786002782060019630000000000000000S
04202305109259Lleida                                            00441443005750030312500303142000041130000000000104879001436330000492400004252001710200017250000000000000000S
04202305109439Tarragona                                         00830075010390058333800583442000086550000000000199527002678450000611800006328003164040016680000000000000000S
04202305109999Cataluña                                          07792611089460548979305489975000673940000000001773829024460850005140800044432029546170091470000000000000000S
04202305110069Badajoz                                           00666971009020053985300539911000013430000000000226388003070360000559000010019003744730015750000000000000000S
04202305110109Cáceres                                           00387805005150032354100323554000010960000000000133371001863890000298300006079002273510017090000000000000000S
04202305110999Extremadura                                       01054776014170086339400863465000024390000000000359759004934250000857300016098006018240032840000000000000000S
04202305111159A Coruña                                          01119180015440092440900924460000022970000000000314336004665200000813200007462005706750012310000000000000000S
04202305111279Lugo                                              00323989005330027028600270346000011750000000000102672001545370000209800002802001894990007130000000000000000S
04202305111329Ourense                                           00304280005390025552700255573000026330000000000101181001444300000210100002473001757370008760000000000000000S
04202305111369Pontevedra                                        00943015013440077576700775936000033380000000000273778004118300000569900007110004872930008850000000000000000S
04202305111999Galicia                                           02690464039600222598902226315000094430000000000791967011773170001803000019847014232040037050000000000000000S
04202305112289Madrid                                            06750336071180490242104902785000631870000000001903307027934280003601400034816033379680023550000000000000000S
04202305112999Comunidad de Madrid                               06750336071180490242104902785000631870000000001903307027934280003601400034816033379680023550000000000000000S
04202305113319Navarra                                           00664117009610048590600485924000029240000000000197798002643450000804300006270003149860018100000000000000000S
04202305113999Comunidad Foral de Navarra                        00664117009610048590600485924000029240000000000197798002643450000804300006270003149860018100000000000000000S
04202305114019Araba/Álava                                       00334412004270025332500253341000014940000000000085959001178990000215700002451001476910004310000000000000000S
04202305114209Gipuzkoa                                          00724418008580055809800558128000022350000000000199082002707940000631700003943003248430009860000000000000000S
04202305114489Bizkaia                                           01149344014090090300600903205000028050000000000320904004468560000960100007727005268420012440000000000000000S
04202305114999País Vasco                                        02208174026940171442901714674000065340000000000605945008355490001807500014121009993760026610000000000000000S
04202305115309Murcia                                            01531878017160107000001070099000107710000000000428068005816770000664400008354006814510007730000000000000000S
04202305115999Región de Murcia                                  01531878017160107000001070099000107710000000000428068005816770000664400008354006814510007730000000000000000S
04202305116269La Rioja                                          00319892005160023725800237278000030510000000000104405001368310000272900003351001653380010300000000000000000S
04202305116999La Rioja                                          00319892005160023725800237278000030510000000000104405001368310000272900003351001653380010300000000000000000S
04202305117039Alacant/Alicante                                  01901594022280130294301302208000435040000000000539311007138530001012000011054008194680016910000000000000000S
04202305117129Castelló/Castellón                                00590616007410043023900430320000108590000000000186298002491670000405400004827002885920010890000000000000000S
04202305117469València/Valencia                                 02605757032000194708601946947000196290000000000870102011631010001532200016352013537570029800000000000000000S
04202305117999Comunitat Valenciana                              05097967061690368026803679475000739920000000001595711021261210002949600032233024618170057600000000000000000S
04202305118519Ceuta                                             00083117000960006034200063301000000330000000000016614000261930000039400000403000338880000250000000000000000S
04202305118999Ciudad Autónoma de Ceuta                          00083117000960006034200063301000000330000000000016614000261930000039400000403000338880000250000000000000000S
04202305119529Melilla                                           00085170000870005518700061138000000780000000000014194000203740000039400000486000293590000250000000000000000S
04202305119999Ciudad Autónoma de Melilla                        00085170000870005518700061138000000780000000000014194000203740000039400000486000293590000250000000000000000S
04202305199999España                                            47475420605423552280635534425004150800000000013037891182847830030722000333135220737210670390000000000000000S
