0820230510104009Alcudia de Monteagud                                                                                0130130311330111811800000004806500200209105S
0820230510104012Alicún                                                                                              0130130022140119219200200008914101000515305S
0820230510104014Almócita                                                                                            0130130022010118318300400009613500000315605S
0820230510104015Alsodux                                                                                             0130130021290113813800100007309800200411205S
0820230510104019Bacares                                                                                             0530530312400122822800100010515200100517905S
0820230510104021Bayarque                                                                                            0530530312260118118100400008111700100613905S
0820230510104023Beires                                                                                              0130130021380114414400100008209100300211205S
0820230510104028Bentarique                                                                                          0130130022390120520500000012715900000517905S
0820230510104033Castro de Filabres                                                                                  0130130311150111711700500005607300000109405S
0820230510104034Cóbdar                                                                                              0130130311600118818800500009413400000116605S
0820230510104056Laroya                                                                                              0530530312000116916901000006811200300414505S
0820230510104068Olula de Castro                                                                                     0130130311920118218200700010013000000017005S
0820230510104080Santa Cruz de Marchena                                                                              0130130022190122722700700012115100100418505S
0820230510104087Suflí                                                                                               0530530312030119019001600006411000201214505S
0820230510104097Velefique                                                                                           0130130312480124724700300013217400000221805S
0820230510118001Agrón                                                                                               1221220232470120420400700011114000100515705S
0820230510118043Carataunas                                                                                          1471470022010118218202000009311500100614305S
0820230510118044Cástaras                                                                                            1471470022330116316302600006607800100411205S
0820230510118083Gobernador                                                                                          0890890032100123323300000012317500100721005S
0820230510118112Juviles                                                                                             1471470021340111211201200004305700100208205S
0820230510118121Lobras                                                                                              1471470021350112812800900005407600100210405S
0820230510118181Turón                                                                                               1471470022350117817801400007810500000612505S
0820230510121022Castaño del Robledo                                                                                 0070070292270118818800200008311100000514505S
0820230510121051La Nava                                                                                             0070070292470123423400200011014000100618305S
0820230510121071Valdelarco                                                                                          0070070292390120420400000012414300600717305S
0820230510129021Atajate                                                                                             0840840281830116916900300008610400301211505S
0820230510129022Benadalid                                                                                           0840840282390118918901000008611900100713305S
0820230510129065Júzcar                                                                                              0840840282470121721700900009213800100518905S
0820230510129085Salares                                                                                             0940940341750114914900900005109700100311705S
0820230510222002Abizanda                                                                                            0660660031510112412401300005407600000010605S
0820230510222003Adahuesca                                                                                           0480480072040115615600200006309300200212505S
0820230510222004Agüero                                                                                              1301300061450112412400000005207400100110105S
0820230510222008Albalatillo                                                                                         1251250102040113613600500006008300700809305S
0820230510222011Albero Alto                                                                                         1251250061170110010000100004405600600207005S
