102023051010401399Almería                                                                                             001301300000441166005050029527000295105000000000000000000100966001360130000190000001516001654500160000000000000000S
102023051010402999Berja                                                                                               002902900000132634001300007996900079976000000000000000000026336000355440000056600000542000431810050000000000000000S
102023051010405399Huércal-Overa                                                                                       005305300000084600001160005865200058654000000000000000000026092000364340000033800000643000438360030000000000000000S
102023051010410099Vera                                                                                                010010000000082134000860004967600049482000000000000000000019041000265460000033600000503000335110030000000000000000S
102023051011100499Algeciras                                                                                           000400400000165001001930012363400123648000000000000000000035725000501320000090600000869000613310040000000000000000S
102023051011100699Arcos de la Frontera                                                                                000600600000115288001540009457800094597000000000000000000035486000504660000070400001259000623560030000000000000000S
102023051011101299Cádiz                                                                                               001201200000113066001490009492600094938000000000000000000035288000488870000086200000724000569780030000000000000000S
102023051011101599Chiclana de la Frontera                                                                             001501500000146518001740011551500115537000000000000000000035376000495110000107400000771000601850040000000000000000S
102023051011102099Jerez de la Frontera                                                                                002002000000217183002710017342000173429000000000000000000058804000783930000139700001100000957190050000000000000000S
102023051011102799El Puerto de Santa María                                                                            002702700000160889001990012814000128147000000000000000000041797000578840000105700000786000695050040000000000000000S
102023051011103199San Fernando                                                                                        003103100000123697001490010084800100875000000000000000000033828000470130000074400000607000563860030000000000000000S
102023051011103299Sanlúcar de Barrameda                                                                               003203200000096329001130007704900077048000000000000000000021904000312060000057500000517000397370020000000000000000S
102023051011103399San Roque                                                                                           003303300000108810001260008162300081629000000000000000000024356000346950000035200000421000424630030000000000000000S
102023051011400299Aguilar de la Frontera                                                                              000200200000048672000580003889500038905000000000000000000014483000200550000030200000566000242800020000000000000000S
102023051011400799Baena                                                                                               000700700000022769000260001822600018226000000000000000000007598000104560000016100000329000124770010000000000000000S
102023051011401399Cabra                                                                                               001301300000030658000370002515800025164000000000000000000010303000138130000024300000352000162970010000000000000000S
102023051011402199Córdoba                                                                                             002102100000379611004600031100500311021000000000000000000109100001490410000266400002727001840710130000000000000000S
102023051011403899Lucena                                                                                              003803800000065149000740005119900051201000000000000000000019349000271830000033700000560000328180020000000000000000S
102023051011404299Montilla                                                                                            004204200000057153000690004668800046690000000000000000000020042000270990000048100000717000322100020000000000000000S
102023051011405299Peñarroya-Pueblonuevo                                                                               005205200000033362000500002845500028452000000000000000000011934000161220000025700000429000195890010000000000000000S
