042023051010406699Níjar                                                                                               001301300900031816000260001403500014026000004820000000000005383000073960000007500000049000088960210000000000000000S
042023051010406799Ohanes                                                                                              001301300200000551000010000050700000507000000010000000000000225000003110000000200000016000003510070000000000000000S
042023051010406999Olula del Río                                                                                       005305303100006259000080000481400004814000000460000000000002189000030190000002200000035000036410130000000000000000S
042023051010407099Oria                                                                                                005305303100002212000040000164700001647000001670000000000000688000010510000000700000008000013000110000000000000000S
042023051010407199Padules                                                                                             001301300200000424000010000037800000378000000080000000000000212000002620000000200000005000003020070000000000000000S
042023051010407299Partaloa                                                                                            005305303100001003000010000047800000478000001690000000000000261000003330000000100000003000003980090000000000000000S
042023051010407399Paterna del Río                                                                                     001301300200000395000010000034200000342000000030000000000000165000002190000000000000004000002560070000000000000000S
042023051010407499Pechina                                                                                             001301300900004224000050000313300003133000000690000000000001211000016520000002900000041000019840110000000000000000S
042023051010407599Pulpí                                                                                               010010002500010493000110000633200006332000003150000000000002554000034190000003900000061000041340170000000000000000S
042023051010407699Purchena                                                                                            005305303100001550000020000118300001183000000190000000000000505000008130000000400000013000009970090000000000000000S
042023051010407799Rágol                                                                                               001301300200000288000010000027300000273000000050000000000000156000001980000000800000001000002480070000000000000000S
042023051010407899Rioja                                                                                               001301300900001510000020000121100001211000000130000000000000614000008030000000500000009000009620090000000000000000S
042023051010407999Roquetas de Mar                                                                                     001301302700102881001000006197800061896000034410000000000018645000254830000035200000218000308220270000000000000000S
042023051010408199Santa Fe de Mondújar                                                                                001301300200000476000010000039100000391000000190000000000000189000002410000000400000005000002950070000000000000000S
042023051010408299Senés                                                                                               001301303100000285000010000028600000286000000150000000000000136000001860000000000000004000002290070000000000000000S
042023051010408399Serón                                                                                               005305303100002062000040000175100001751000000150000000000000845000011770000000300000022000014340110000000000000000S
042023051010408499Sierro                                                                                              005305303100000384000010000033700000337000000050000000000000164000002340000000400000007000002710070000000000000000S
042023051010408599Somontín                                                                                            005305303100000445000010000050600000506000000220000000000000240000003200000000100000006000004750070000000000000000S
042023051010408699Sorbas                                                                                              001301303100002505000040000173300001733000000880000000000000697000010300000001400000014000012680110000000000000000S
042023051010408899Tabernas                                                                                            001301303100004025000040000264800002648000000990000000000001151000015550000002700000022000018940110000000000000000S
042023051010408999Taberno                                                                                             005305303100000949000010000071100000711000000510000000000000362000004960000000600000006000005980070000000000000000S
042023051010409099Tahal                                                                                               001301303100000346000010000032500000325000000190000000000000161000002040000000400000001000002760070000000000000000S
042023051010409199Terque                                                                                              001301300200000386000010000031100000311000000080000000000000171000002100000000500000006000002240070000000000000000S
042023051010409299Tíjola                                                                                              005305303100003520000050000277400002774000000290000000000001217000016970000001700000097000020950110000000000000000S
042023051010409399Turre                                                                                               010010002500004067000040000215800002158000002380000000000000825000012540000001300000013000016320110000000000000000S
042023051010409499Turrillas                                                                                           001301303100000270000010000022700000227000000020000000000000116000001470000000000000000000001980070000000000000000S
042023051010409599Uleila del Campo                                                                                    001301303100000812000010000067200000672000000140000000000000365000004690000000100000001000005780070000000000000000S
042023051010409699Urrácal                                                                                             005305303100000371000010000030000000300000000220000000000000162000001930000000200000003000002720070000000000000000S
042023051010409899Vélez-Blanco                                                                                        005305300300001925000030000150000001501000000590000000000000666000009470000000800000016000011710090000000000000000S
042023051010409999Vélez-Rubio                                                                                         005305300300006528000100000483000004830000000960000000000002203000029280000003800000089000034240130000000000000000S
042023051010410099Vera                                                                                                010010002500018224000170001076600010768000002920000000000003510000048150000005700000064000060840170000000000000000S
042023051010410199Viator                                                                                              001301300900006066000070000449000004495000000230000000000001778000024340000003900000038000027450130000000000000000S
042023051010410299Vícar                                                                                               001301302700027631000280001496400014936000003040000000000004832000064880000007300000068000080510210000000000000000S
042023051010410399Zurgena                                                                                             005305303100002912000030000172800001728000003230000000000000836000011920000001100000010000013500110000000000000000S
042023051010490199Las Tres Villas                                                                                     001301303100000573000010000049700000497000000180000000000000246000003100000000600000005000003790070000000000000000S
042023051010490299El Ejido                                                                                            002902902700087500000790004794200047945000011110000000000015058000201480000031600000252000244180250000000000000000S
