10202305101049Almería                                           00740534008370048356700483217000128440000000000172435002345370000314000003204002859780000270000000000000000S
10202305101119Cádiz                                             01246781015280098973300989848000038910000000000322564004481870000767100007054005446600000310000000000000000S
10202305101149Córdoba                                           00772464009480062980400629833000036290000000000236656003245270000544600007197003955150000270000000000000000S
10202305101189Granada                                           00921987011220071808100718090000066360000000000266635003722520000480500009796004459500000270000000000000000S
10202305101219Huelva                                            00528763006510040092000400944000068790000000000130218001820400000289200004506002465040000270000000000000000S
10202305101239Jaén                                              00623761008730050604700506050000008560000000000206194002787500000359200006235003417480000270000000000000000S
10202305101299Málaga                                            01717504017340120420101204249000267500000000000396480005619420000771300008805006791530000310000000000000000S
10202305101419Sevilla                                           01948393025880152971301529744000041830000000000536571007434180001197700015433009177300000310000000000000000S
10202305102229Huesca                                            00225456004170016838100168390000031230000000000066536000899060000235900002148001106760000250000000000000000S
10202305102449Teruel                                            00134421003280010242000102420000014350000000000043957000607300000130900001566000732450000250000000000000000S
10202305102509Zaragoza                                          00966438014690072088100720897000079710000000000294161003910470000845300006571004757680000270000000000000000S
10202305107029Albacete                                          00385727005210030177000301753000016350000000000124922001721930000312200003667002067160000250000000000000000S
10202305107139Ciudad Real                                       00490806007070038658600386614000024260000000000156934002206900000392000005725002651280000250000000000000000S
10202305107169Cuenca                                            00195215003830015208400152094000027020000000000066941000930270000187100002574001115000000250000000000000000S
10202305107199Guadalajara                                       00268127005900019525600195271000036910000000000073661001061710000187300002286001302260000250000000000000000S
10202305107459Toledo                                            00713453009030053377800533805000053880000000000220461003099090000475500008873003623350000270000000000000000S
10202305108059Ávila                                             00158140003590012909400129101000008150000000000052045000755260000110900002133000907550000250000000000000000S
10202305108099Burgos                                            00355045007950027822900278314000018450000000000102965001414690000319700003512001753790000250000000000000000S
10202305108249León                                              00448179007730037615200376137000020980000000000136023001946820000323700004887002407370000250000000000000000S
10202305108349Palencia                                          00158008003640013051100130512000003940000000000050156000716840000124300001762000881290000250000000000000000S
10202305108379Salamanca                                         00325898006490026989700269915000010120000000000101727001441120000255000003221001753350000250000000000000000S
10202305108409Segovia                                           00153803003380011715500117164000017940000000000046847000668680000128100001791000812340000250000000000000000S
10202305108429Soria                                             00088377002580006926300069265000008380000000000026122000362770000088300000940000451420000250000000000000000S
10202305108479Valladolid                                        00517975007660041811800418201000018390000000000161665002283090000350000004062002790720000270000000000000000S
10202305108499Zamora                                            00167215003810014302100143019000007940000000000055537000779670000131200001911000965010000250000000000000000S
10202305109089Barcelona                                         05727615064720406834304068372000411670000000001299736017978310003407400028066021889870000510000000000000000S
10202305109179Girona                                            00793478008600053498700535019000134590000000000169687002367760000629200005786002782060000270000000000000000S
10202305109259Lleida                                            00441443005750030312500303142000041130000000000104879001436330000492400004252001710200000250000000000000000S
10202305109439Tarragona                                         00830075010390058333800583442000086550000000000199527002678450000611800006328003164040000270000000000000000S
10202305110069Badajoz                                           00666971009020053985300539911000013430000000000226388003070360000559000010019003744730000270000000000000000S
10202305110109Cáceres                                           00387805005150032354100323554000010960000000000133371001863890000298300006079002273510000250000000000000000S
10202305111159A Coruña                                          01119180015440092440900924460000022970000000000314336004665200000813200007462005706750000310000000000000000S
10202305111279Lugo                                              00323989005330027028600270346000011750000000000102672001545370000209800002802001894990000250000000000000000S
10202305111329Ourense                                           00304280005390025552700255573000026330000000000101181001444300000210100002473001757370000250000000000000000S
10202305111369Pontevedra                                        00943015013440077576700775936000033380000000000273778004118300000569900007110004872930000270000000000000000S
10202305117039Alacant/Alicante                                  01901594022280130294301302208000435040000000000539311007138530001012000011054008194680000310000000000000000S
10202305117129Castelló/Castellón                                00590616007410043023900430320000108590000000000186298002491670000405400004827002885920000270000000000000000S
10202305117469València/Valencia                                 02605757032000194708601946947000196290000000000870102011631010001532200016352013537570000310000000000000000S
